"ean","name","brand","pack_size","category","image_url","source"
"05060743172964","Bayswood Artificial Snake Plant","BAYSWOOD","","Home & Ents > Home Accessories > Decorative Accessories","https://digitalcontent.api.tesco.com/v2/media/ghs/d2344adc-2768-4175-9917-17b2bb1820f0/97c6e0da-291f-443f-837b-87c8dcbba616_1815995581.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05000205049205","Youngs Gastro Cod Parmesan Parsley 2 F/Cakes 270G","YOUNG'S","270G","Frozen Food > Frozen Fish & Seafood > Frozen Fish Cakes & Dippers","https://digitalcontent.api.tesco.com/v2/media/ghs/6d2c7671-4c00-4ef0-982f-df07164af2e2/553e3538-cc4c-4f60-8f18-c25e981d2737.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05028420002836","Joseph Joseph Grey Duo Multi Grip Mandoline","JOSEPH JOSEPH","","Home & Ents > Cooking & Dining > Kitchen Utensils","https://digitalcontent.api.tesco.com/v2/media/ghs/67b8cf5f-aa04-4d1f-ac22-9087b6de4d29/61a95f2d-3bf1-4d23-909b-69b01ffa25a1_1032181186.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"00855380004403","Harry's Shave Cream With Eucalyptus","HARRY'S","100ML","Health & Beauty > Men's Toiletries > Shaving","https://digitalcontent.api.tesco.com/v2/media/ghs/75acaa81-44fb-4193-844e-ff9d2eb849ec/2335811b-949e-4c14-a9c9-205e26863bc7_1758807207.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05056175945832","Keep It Handy 6 In 1 Screwdriver","KEEP IT HANDY","","Home & Ents > DIY & Car Care > DIY","https://digitalcontent.api.tesco.com/v2/media/ghs/224f5e16-0cfa-49b4-bd96-4f685f810d30/9f706144-8185-4682-bb1f-11b84633a69c_1605622920.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05059944642390","Tesco Belonging Alphabet Mug A","TESCO HOME","","Home & Ents > Cooking & Dining > Tableware","https://digitalcontent.api.tesco.com/v2/media/ghs/dd54cd83-f810-40db-9f40-6f9de5bc7192/4b7a0af6-bbe3-41fb-8c7a-72aafa2169cb_2136050441.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05050179081091","Tesco Balti Sauce 500G","TESCO","500G","Food Cupboard > Cooking Sauces, Meal Kits & Sides > Indian","https://digitalcontent.api.tesco.com/v2/media/ghs/4be80839-c141-409e-ab28-9987abd8c97e/2e3a2565-2de3-486a-9610-644f18171307_1189246237.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05050974001348","Ryvita Cheddar & Crack Black Pepper Thins 125G","RYVITA","125G","Food Cupboard > Crackers & Crispbreads > Cheese Crackers, Breadsticks & Dipping","https://digitalcontent.api.tesco.com/v2/media/ghs/1b9648ac-56c8-44af-9171-04981427e6be/b87f095b-e3e3-434f-8ded-eead1f407272_1124947495.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05000221601906","Mr Kipling Lemon Slice 6 Pack","MR KIPLING","","Bakery > Cakes, Cake Bars, Slices & Pies > Small Cakes, Bites & Slices","https://digitalcontent.api.tesco.com/v2/media/ghs/9e2e1403-9058-4eac-8738-2b2cfa0b1882/21d9554a-3185-4d40-b5ff-5e4355e4e972.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05060235442414","Peckish 6 Energy Balls 6X80g","PECKISH","480G","Pets > Small Animal, Fish & Bird > Wild & Domestic Bird Food & Accessories","https://digitalcontent.api.tesco.com/v2/media/ghs/877ec206-9e6d-45bc-8b13-ad8f61721cb4/f8a3d1b3-01cc-48ae-adf0-06b7a7155b9c_547268837.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"03026981626432","Sharpie S Gel Metallic Black 2 Pen 2 Refill","SHARPIE","","Home & Ents > Stationery, Arts & Crafts > Pens & Pencils","https://digitalcontent.api.tesco.com/v2/media/ghs/be24bbd9-81b4-498f-9339-5469bafa95b5/13e1dc39-f1bd-45de-a7a7-c4127f31be09_1179128725.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05054775897131","Tesco All Purpose Chopping Board","TESCO HOME","","Home & Ents > Cooking & Dining > Food Preparation","https://digitalcontent.api.tesco.com/v2/media/ghs/a9cbf471-be6b-4fe9-8790-3963e21222e6/b39bd6a7-f5f4-4d14-bb4e-e211a7ad7a39_1202927065.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05052003369467","Tesco British Pork Crumbed Ham 125G","TESCO","125G","Fresh Food > Cooked Meats, Antipasti & Dips > Ham Slices","https://digitalcontent.api.tesco.com/v2/media/ghs/e4f8b949-0d06-4b54-a7eb-af1283b6bf60/f2224b86-58a8-4288-b1fc-1434c506d1e5.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05000362400208","The Corner Deli Co. Chilli Crackers 65G","DELICATESSEN","65G","Fresh Food > Counters > Counter - Cheese","https://digitalcontent.api.tesco.com/v2/media/ghs/81fe8f61-a995-4611-be69-e890c660bff8/36b3ed3c-1ddc-4109-ba2f-b8f81e49cc71.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05019503025842","Quorn Crispy Nuggets 476G","QUORN","476G","Frozen Food > Frozen Vegetarian & Vegan > Frozen Nuggets, Meatballs & Bites","https://digitalcontent.api.tesco.com/v2/media/ghs/1b68afe8-7f07-4554-bfda-21e8c75b372b/9b1f17c7-583a-44c7-93cb-c1b02f909a22.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"00000003492109","Tesco Finest Marron Chestnuts 400G","TESCO FINEST","400G","Fresh Food > Fresh Fruit > Dried Fruit, Nuts & Seeds","https://digitalcontent.api.tesco.com/v2/media/ghs/79b189ef-b4dc-4c0a-bf93-5cc56db4fa98/2c404e0c-ab97-4b11-8b36-b4c9fbc8abf1.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05024448533475","Tiger Tiger 5Mm Rice Sticks 400G","TIGER TIGER","400G","Food Cupboard > World Foods > Chinese & South East Asian","https://digitalcontent.api.tesco.com/v2/media/ghs/1754f8c7-3133-4e71-bc13-e60b5b6336c1/853b2aa4-c545-4483-a3e3-6e09f603e842_1325357260.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"00000042182634","Vaseline Original Petroleum Jelly 100Ml","VASELINE","100ML","Baby > Baby & Toddler Toiletries > Nappy Cream","https://digitalcontent.api.tesco.com/v2/media/ghs/23397430-1012-46d2-838c-54f85d36701d/be47939a-5693-4ab7-b30b-aafd9e9f3c3a_1426716094.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"07322541058870","Cushelle Quilted 3 Ply 16 Roll Family Pack","CUSHELLE","2512SHT","Household > Toilet Roll > Quilted Toilet Roll","https://digitalcontent.api.tesco.com/v2/media/ghs/016ab2d3-2a18-4771-ad61-6b5419ac4673/c04645fb-9b94-4f87-ac22-e0adf6865664_1693326886.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
